"","factor","no","yes","Ratio","no","yes","pvalue","no (expected)","yes (expected)","no (relative_abundance)","yes (relative_abundance)"
"num.18","E-waste (n = 25)",17,8,2.125,1.7223903658954,-1.55525082632959,0.0436255831956293,11.2284602556976,13.7715397443024,1.5140099009901,0.580908173562058
"num.8","Chemical products (n = 165)",108,57,1.89473684210526,3.93701624501688,-3.55497098078134,3.70978383870812e-07,74.1078376876042,90.8921623123958,1.45733573357336,0.627116778277222
"num.17","Domestic municipal waste (n = 162)",103,59,1.74576271186441,3.5450969258504,-3.20108323439272,5.60417780816165e-06,72.7604224569205,89.2395775430795,1.41560475491994,0.661141632719164
"num.3","Biological resources (n = 82)",51,31,1.64516129032258,2.3350315756458,-2.10844176757857,0.00402731511730065,36.8293496386882,45.1706503613118,1.3847651533446,0.68628633309542
"num.9","Coal (n = 319)",195,124,1.57258064516129,4.32129361200155,-3.90195834460811,1.33174370592478e-08,143.275152862702,175.724847137298,1.36101756727397,0.705648643433535
"num.52","Tourism services (n = 153)",93,60,1.55,2.92917608095992,-2.64493091147169,0.0002248885045544,68.7181767648694,84.2818232351306,1.35335371772471,0.711897271522131
"num.41","Recycled Metals (n = 52)",31,21,1.47619047619048,1.58188354732229,-1.42837868978163,0.0641838815960139,23.355197331851,28.644802668149,1.32732768469155,0.733117286346348
"num.26","Industrial waste (n = 179)",105,74,1.41891891891892,2.74405661912909,-2.47777531092789,0.00059558868956323,80.3957754307949,98.6042245692051,1.30603877426849,0.750474944895117
"num.7","Charcoal (n = 11)",6,5,1.2,0.476656249695454,-0.430401865275549,0.788265616935824,4.94052251250695,6.05947748749305,1.21444644464446,0.825153655627924
"num.44","Sand, gravel (n = 76)",41,35,1.17142857142857,1.17509793617518,-1.06106726584282,0.194852632142779,34.1345191773207,41.8654808226793,1.20113014590933,0.836010940570397
"num.2","Asphalt (n = 13)",7,6,1.16666666666667,0.48055765729023,-0.433924683044255,0.770244044502646,5.83879933296276,7.16120066703724,1.19887661843107,0.837848327252969
"num.45","Shrimps (n = 17)",9,8,1.125,0.49386218520408,-0.445938149005082,0.738229193822987,7.63535297387438,9.36464702612563,1.17872743156669,0.854276725826557
"num.6","Cement (n = 61)",31,30,1.03333333333333,0.688265248392171,-0.62147647681447,0.523657226574269,27.3974430239022,33.6025569760978,1.13149245252394,0.892789201171197
"num.29","Land (n = 970)",487,483,1.00828157349896,2.45948330244468,-2.2208167870716,0.00153713492473818,435.664257921067,534.335742078933,1.11783326528529,0.903926056154878
"num.10","Coffee (n = 2)",1,1,1,0.107328443169714,-0.0969133671631921,1,0.898276820455809,1.10172317954419,1.11324257425743,0.907669021190716
"num.32","Live Animals (n = 38)",19,19,1,0.467833837544332,-0.422435573742607,0.735645767731098,17.0672595886604,20.9327404113396,1.11324257425743,0.907669021190716
"num.19","Ecosystem Services (n = 58)",28,30,0.933333333333333,0.382053626004706,-0.344979413094394,0.823925891209841,26.0500277932185,31.9499722067815,1.07485489928303,0.938967952955914
"num.34","Meat (n = 29)",14,15,0.933333333333333,0.270152709724837,-0.243937282368801,0.949787933546236,13.0250138966092,15.9749861033908,1.07485489928303,0.938967952955914
"num.54","Water (n = 625)",301,324,0.929012345679012,1.21093183019968,-1.09342386420502,0.235420169991814,280.71150639244,344.28849360756,1.07227524752475,0.941071241170535
"num.33","Manufactured Products (n = 54)",26,28,0.928571428571429,0.354640261668722,-0.320226222191675,0.852410125514842,24.2534741523068,29.7465258476932,1.07201136780345,0.941286392345928
"num.27","Iron ore (n = 95)",45,50,0.9,0.356984122445264,-0.322342636380756,0.862694253363629,42.6681489716509,52.3318510283491,1.05465085982282,0.955441074937596
"num.30","Lead (n = 70)",33,37,0.891891891891892,0.278273679505955,-0.251270199001852,0.938151446475276,31.4396887159533,38.5603112840467,1.04962871287129,0.959535822401615
"num.20","Electricity (n = 641)",299,342,0.874269005847953,0.654324263775302,-0.590829101273454,0.733179443452628,287.897720956087,353.102279043913,1.03856327520428,0.968557894687129
"num.56","Zinc (n = 61)",28,33,0.848484848484849,0.115117964705619,-0.103946999053678,0.999999999999999,27.3974430239022,33.6025569760978,1.02199318292485,0.982068121288316
"num.36","Other (n = 1056)",479,577,0.830155979202773,0.216263877423942,-0.195277784135755,0.648676297470617,474.290161200667,581.709838799333,1.00993028990399,0.9919034568694
"num.23","Fish (n = 67)",30,37,0.810810810810811,-0.0168209075789134,0.0151886186370525,0.940512813978925,30.0922734852696,36.9077265147304,0.996933648588739,1.00250011295691
"num.5","Cellulose (n = 48)",21,27,0.777777777777778,-0.120316220517472,0.108640819808217,0.868663442739586,21.5586436909394,26.4413563090606,0.974087252475247,1.02112764883956
"num.1","Asbestos (n = 21)",9,12,0.75,-0.140633928746605,0.126986912040366,0.946031441489869,9.43190661478599,11.568093385214,0.954207920792079,1.03733602421796
"num.49","Sugar (n = 61)",26,35,0.742857142857143,-0.266980224418749,0.241072652786851,0.688875200853733,27.3974430239022,33.6025569760978,0.948993669858789,1.0415874013664
"num.53","Uranium (n = 115)",48,67,0.716417910447761,-0.507999122236946,0.45870324769437,0.404788600017856,51.650917176209,63.349082823791,0.929315540249677,1.05763172903962
"num.38","Pesticides (n = 34)",14,20,0.7,-0.325173769489139,0.293619137515195,0.695667030197404,15.2707059477488,18.7292940522513,0.916788002329645,1.0678459072832
"num.22","Eucalyptus (n = 40)",16,24,0.666666666666667,-0.463725521845871,0.418725926085856,0.546386602952589,17.9655364091162,22.0344635908838,0.890594059405941,1.08920282542886
"num.28","Jatropha (n = 10)",4,6,0.666666666666667,-0.231862760922935,0.209362963042928,0.950754742566285,4.49138410227904,5.50861589772096,0.890594059405941,1.08920282542886
"num.37","Palm oil (n = 90)",36,54,0.666666666666667,-0.695588282768806,0.628088889128784,0.295284090264572,40.4224569205114,49.5775430794886,0.890594059405941,1.08920282542886
"num.48","Steel (n = 42)",16,26,0.615384615384615,-0.659371158970087,0.595386249337858,0.381302724824789,18.863813229572,23.136186770428,0.848184818481848,1.12378069290279
"num.50","Timber (n = 117)",44,73,0.602739726027397,-1.17934845526149,1.06490531757151,0.0789383421931923,52.5491939966648,64.4508060033352,0.837310654142337,1.1326468127679
"num.39","Pine (n = 16)",6,10,0.6,-0.44249988452528,0.399560009557369,0.667002183317668,7.18621456364647,8.81378543635353,0.834931930693069,1.1345862764884
"num.24","Fruits and Vegetables (n = 42)",15,27,0.555555555555556,-0.8896135337735,0.803286067381105,0.235120295211822,18.863813229572,23.136186770428,0.795173267326733,1.16700302724521
"num.35","Natural Gas (n = 212)",73,139,0.525179856115108,-2.27684827027239,2.05590452889427,0.000618468388616337,95.2173429683157,116.782657031684,0.766667055856529,1.19024522590103
"num","Aluminum/Bauxite (n = 44)",15,29,0.517241379310345,-1.07122615192575,0.967275125869788,0.149720327088419,19.7620900500278,24.2379099499722,0.75902902790279,1.19647280066049
"num.15","Cut flowers (n = 6)",2,4,0.5,-0.423265748331543,0.382192340298784,0.832262648707187,2.69483046136743,3.30516953863257,0.742161716171617,1.21022536158762
"num.21","Ethanol (n = 27)",9,18,0.5,-0.897882242667697,0.81075238662848,0.258623122918872,12.1267370761534,14.8732629238466,0.742161716171617,1.21022536158762
"num.51","Titanium ores (n = 19)",6,13,0.461538461538462,-0.867313803430731,0.783150287055552,0.302123845638136,8.53362979433018,10.4663702056698,0.703100573215216,1.24207339741888
"num.4","Carbon offsets (n = 67)",21,46,0.456521739130435,-1.65746738113426,1.49662792196548,0.0211352197441016,30.0922734852696,36.9077265147304,0.697853554012118,1.24635149178427
"num.14","Crude oil (n = 319)",98,221,0.443438914027149,-3.78246122852059,3.41541387347351,1.08093875321467e-08,143.275152862702,175.724847137298,0.68399857227102,1.25764798547428
"num.40","Rare metals (n = 47)",13,34,0.382352941176471,-1.76504317524464,1.59376463730948,0.0167918704890781,21.1095052807115,25.8904947192885,0.615836317674321,1.31322326470146
"num.11","Copper (n = 174)",42,132,0.318181818181818,-4.0892586448645,3.69243988611995,4.26987242822317e-09,78.1500833796554,95.8499166203446,0.537427449641516,1.37715299766867
"num.31","Lithium (n = 21)",5,16,0.3125,-1.44308148506651,1.303045881207,0.0679698580946483,9.43190661478599,11.568093385214,0.530115511551155,1.38311469895728
"num.55","Wheat (n = 9)",2,7,0.285714285714286,-1.0157729308003,0.917203045994237,0.272719682328601,4.04224569205114,4.95775430794886,0.494774477447745,1.41192958851889
"num.13","Cotton (n = 14)",3,11,0.272727272727273,-1.31120159562852,1.18396352270921,0.11453462778646,6.28793774319066,7.71206225680934,0.47710396039604,1.4263370332997
"num.46","Silver (n = 130)",27,103,0.262135922330097,-4.10772893094779,3.70911782874108,6.50617951192352e-09,58.3879933296276,71.6120066703724,0.4624238385377,1.4383062951176
"num.25","Gold (n = 268)",53,215,0.246511627906977,-6.14049257783606,5.54462353299658,3.65854126271952e-19,120.369093941078,147.630906058922,0.440312361460027,1.45633462355227
"num.47","Soybeans (n = 31)",6,25,0.24,-2.12341384883043,1.91735927489144,0.00498884066928188,13.923290717065,17.076709282935,0.430932609389971,1.46398229224309
"num.42","Rice (n = 27)",5,22,0.227272727272727,-2.04653301924312,1.84793890648244,0.00733638444453746,12.1267370761534,14.8732629238466,0.412312064539787,1.47916433082932
"num.43","Rubber (n = 18)",3,15,0.2,-1.78822089193693,1.61469320481187,0.0235146378226524,8.08449138410228,9.91550861589772,0.371080858085809,1.51278170198453
"num.12","Corn/Maize (n = 32)",5,27,0.185185185185185,-2.47221978180949,2.23231732751172,0.001021597838654,14.3724291272929,17.6275708727071,0.347888304455446,1.53169147325933
"num.16","Diamonds (n = 14)",2,12,0.166666666666667,-1.70999308684335,1.54405657044444,0.0343754977270917,6.28793774319066,7.71206225680934,0.318069306930693,1.55600403632694
